tweet_id,tweet
1641426546064781312,El grupo #BlackCat (#Alphv) afirma haber #hackeado a Wessex Group (@wessexgroup), una empresa en Inglaterra 🇬🇧, que brinda servicios contra incendios, seguridad, electricidad y mantenimiento para clientes comerciales y residenciales ... se observan copias de pasaportes robados... https://t.co/f0Og7KUZB5
1641419740785639427,RT @SofiaSZM: HACKS OF THE DAY 30/03/2023  And happy Thursday ☠  🔴11 #ransomware, 1 #databreach   🔴 7 #cybercrime gangs: #LockBit3.0, #Abys…
1641415428525129728,HACKS OF THE DAY 30/03/2023  And happy Thursday ☠  🔴11 #ransomware, 1 #databreach   🔴 7 #cybercrime gangs: #LockBit3.0, #Abyss, #RansomHouse, #BlackCat/ALPHV, #Daixin, #RagnarLocker and the new #MoneyMassage    🔴 7 involved countries (in 3 continents): Spain, United Kingdom,… https://t.co/ki1QTthZE8 https://t.co/raoSgBtIhD https://t.co/XRlyEC5czr
1641414442616340481,HACKS OF THE DAY 30/03/2023  Another Thursday ☠  🔥11 #ransomware from #LockBit3.0, #Abyss, #RansomHouse, #BlackCat/ALPHV, #Daixin, #RagnarLocker and the new #MoneyMassage gang,   1 #databreach  🌍 7 involved countries (in 3 continents): Spain, United https://t.co/H9WrtaJ1HD… https://t.co/PAyrB17CQc https://t.co/7CYC55WYVQ
1641408297583648769,RT @SOSIntel: Latest Victim of #ALPHV aka BlackCat Ransomware group: Wessex Group "service group providing fire and security, electrical, b…
1641394269276581888,RT @TheRecord_Media: Black Cat/AlphV group continues targeting #healthcare and #pharma industries. Recent attacks include a Pennsylvania he…
1641382922212069376,RT @TheRecord_Media: Black Cat/AlphV group continues targeting #healthcare and #pharma industries. Recent attacks include a Pennsylvania he…
1641380797537034240,RT @ecrime_ch: The shame-site for #ransomware #AlphV aka #BlackCat has listed a new organization with 51-200 employees as a victim. The org…
1641376133525430273,RT @SOSIntel: Latest Victim of #ALPHV aka BlackCat Ransomware group: Wessex Group "service group providing fire and security, electrical, b…
1641344900896571393,@Alphv_Nxur 😂😂😂😂
1641341436716285953,Latest Victim of #ALPHV aka BlackCat Ransomware group: Wessex Group "service group providing fire and security, electrical, building and maintenance services for commercial and residential customers, across Southern England." 930GB Claimed but not shared. https://t.co/FWhErsHwht
1641340988193923073,@Alphv_Nxur ❤️
1641340722241568768,The shame-site for #ransomware #AlphV aka #BlackCat has listed a new organization with 51-200 employees as a victim. The organization is based in #UnitedKingdom and operates in the #FacilitiesServices sector. Learn more about our service at https://t.co/LSTgh7nW00. https://t.co/tpDhPVsU35
1641333310335885313,RT @secure_blink: Indian #pharmaceutical giant, #SunPharma, hit by a major #cyberattack with over 17TB of stolen data, including sensitive…
1641326892874878977,ALPHV #ransomware group added Wessex Group Limited, to their victim list. They claim that they have access to 930 GB of company data, which includes financial records, employee and client information, etc.  #UnitedKingdom #DarkWeb #DeepWeb #CyberRisk #databreach https://t.co/4hEZdQ5Plk
1641325002350837760,Actor : BlackCat (ALPHV)  Victim : WESSEX  Date : 2023-03-30 09:16 UTC +3   According to the #DarkWeb #Ransomware activity by the ThreatMon Threat Intelligence Team, the “#BlackCat(ALPHV)” Ransomware group has added WESSEX to its victims.
1641323147935744002,New post from Alphv : Wessex
1641320951190093825,WESSEX - wessexgroup[.]co[.]uk  New alledge victim of ALPHV Ransomware Group on 2023-03-30.   #Ransomware #ALPHV
1641314875338268672,Indian pharma giant Sun Pharma confirmed it was the subject of a #ransomware attack that impacted their operations and led to data theft. Seems to be the work of the 'Black Cat/AlphV' ransomware gang who have been targeting #healthcare and pharma  #cyber  https://t.co/Hivz5j5150
1641259700107747329,インドの製薬大手、ランサムウェア攻撃を受け、会社のデータと個人情報を窃取される。ランサムウェアグループの名前は明らかにしていないが、Black Cat/AlphVがリークサイトに掲載している。 https://t.co/XHP3VqBwQq @TheRecord_Media
1641227934198546433,RT @__kokumoto: インドの製薬業界第4位のSun Pharmaceuticals社が、ランサムウェア攻撃とそれに伴う影響を当局報告中で開示。Black Cat/AlphV事案。収益の低減を予測。その他の不利な影響として、サイバー保険費用の増加、潜在的な訴訟、経営層…
1641224030819848193,RT @TheRecord_Media: 1/3 Sun Pharmaceuticals, India's largest pharma company, confirms #ransomware attack, leading to data theft &amp; revenue…
1641222286312108034,RT @TheRecord_Media: 1/3 Sun Pharmaceuticals, India's largest pharma company, confirms #ransomware attack, leading to data theft &amp; revenue…
1641217614398787584,インドの製薬業界第4位のSun Pharmaceuticals社が、ランサムウェア攻撃とそれに伴う影響を当局報告中で開示。Black Cat/AlphV事案。収益の低減を予測。その他の不利な影響として、サイバー保険費用の増加、潜在的な訴訟、経営層の時間・労力が割かれることを挙げている。 https://t.co/HtusIc63Gf
1641205412933554177,RT @TheRecord_Media: 1/3 Sun Pharmaceuticals, India's largest pharma company, confirms #ransomware attack, leading to data theft &amp; revenue…
1641198346269237248,The attack, which was carried out by a group called "AlphV," has left many Ring users without access to their security systems. https://t.co/ev6wcNIJuK #Cybersecurity
